Date;veic_lt;veic_ln;veic_li;veic_prod;veic_exp;auto_lt;auto_ln;auto_li;auto_prod;auto_exp;comlev_lt;comlev_ln;comlev_li;comlev_prod;comlev_exp;cam_lt;cam_ln;cam_li;cam_prod;cam_exp;on_lt;on_ln;on_li;on_prod;on_exp
set/06;159368;146191;13177;188600;56290;134693;125197;9496;158603;45808;16503;13082;3421;19127;6377;6606;6346;260;8913;2934;1566;1566;0;1957;1171
out/06;175255;160227;15028;207656;52618;148289;137078;11211;175251;42118;18506;14945;3561;21269;6578;7065;6809;256;9014;2962;1395;1395;0;2122;960
nov/06;182732;165966;16766;208897;48125;156166;143412;12754;178286;38528;17845;14089;3756;19778;5822;6722;6474;248;9194;3021;1999;1991;8;1639;754
dez/06;204843;183657;21186;177689;52415;177225;160252;16973;150632;42992;18719;14829;3890;18181;5117;7309;6986;323;7657;3371;1590;1590;0;1219;935
jan/07;152931;134844;18087;190778;34888;130087;115020;15067;161605;28726;15318;12550;2768;20404;3986;6235;5983;252;6945;1775;1291;1291;0;1824;401
fev/07;146765;133465;13300;190518;50959;123991;112955;11036;159393;42818;15569;13588;1981;20012;5125;5832;5550;282;8716;2505;1373;1372;1;2397;511
mar/07;193450;174242;19208;234951;55926;162331;146932;15399;195931;44219;21371;17883;3488;24346;7895;8018;7697;321;11148;3073;1730;1730;0;3526;739
abr/07;179320;161899;17421;212376;47984;151281;137201;14080;177941;37146;18736;15606;3130;21353;6834;7581;7372;209;10157;3105;1722;1720;2;2925;899
mai/07;211103;192223;18880;241844;55654;180277;165009;15268;204063;45258;19894;16648;3246;22451;5789;8796;8432;364;11804;3628;2136;2134;2;3526;979
jun/07;198791;179115;19676;232836;49917;169488;153075;16413;193968;40543;19233;16193;3040;23908;5488;7983;7760;223;11686;2977;2087;2087;0;3274;909
jul/07;217365;195344;22021;253138;69045;184228;165839;18389;212032;57292;22042;18675;3367;25810;7505;8762;8497;265;11975;3434;2333;2333;0;3321;814
ago/07;235256;209406;25850;263924;53003;198537;176795;21742;218310;41591;25298;21517;3781;29008;6735;9173;8846;327;13079;3625;2248;2248;0;3527;1052
set/07;204026;179665;24361;241700;52809;172795;152081;20714;201543;43412;21276;17877;3399;25372;5439;8147;7900;247;11956;3013;1808;1807;1;2829;945
out/07;244451;212514;31937;283405;64455;206329;178927;27402;236446;52159;26179;21921;4258;29585;7628;9748;9472;276;14168;3679;2195;2194;1;3206;989
nov/07;237015;205626;31389;262729;49786;200844;174008;26836;218002;39586;24945;20569;4376;28760;5380;9294;9117;177;13014;3377;1932;1932;0;2953;1443
dez/07;242240;207253;34987;217025;50130;205518;176058;29460;181505;38436;25656;20494;5162;24729;6655;9016;8651;365;9091;3920;2050;2050;0;1700;1119
jan/08;214959;185148;29811;242456;45385;180351;155463;24888;200764;38628;25033;20442;4591;27872;4662;7989;7658;331;10391;1661;1586;1585;1;3429;434
fev/08;200844;177901;22943;239214;44871;167387;148203;19184;197647;34522;23768;20238;3530;26243;6197;8056;7827;229;12288;3197;1633;1633;0;3036;955
mar/08;232147;204083;28064;268285;49779;194019;170844;23175;222548;40029;26865;22231;4634;28799;5904;9468;9213;255;13671;2862;1795;1795;0;3267;984
abr/08;261246;229699;31547;283294;49372;218037;191641;26396;236206;39994;29901;25086;4815;29917;5229;11092;10756;336;13516;3057;2216;2216;0;3655;1092
mai/08;242010;211972;30038;274542;42801;203202;177709;25493;229493;34231;26754;22518;4236;28517;5225;9912;9603;309;12954;2806;2142;2142;0;3578;539
jun/08;256005;223242;32763;292422;55709;212801;185727;27074;242191;45484;30049;24871;5178;31792;6168;10747;10236;511;14691;3275;2408;2408;0;3748;782
jul/08;288141;252167;35974;305384;50259;239013;208983;30030;251952;41626;33943;28370;5573;34057;5013;12087;11716;371;15547;2972;3098;3098;0;3828;648
ago/08;244771;210069;34702;299556;52661;201058;171772;29286;245913;42008;29995;25005;4990;33848;5851;11344;10919;425;16233;3998;2374;2373;1;3562;804
set/08;268686;231385;37301;286610;48315;223735;191706;32029;233650;37396;30431;25613;4818;33244;6238;11955;11501;454;16268;3710;2565;2565;0;3448;971
out/08;239236;204658;34578;280178;51385;195162;165627;29535;225246;41121;29563;24895;4668;33905;5484;11980;11605;375;17690;3523;2531;2531;0;3337;1257
